"filename", "language", "Python", "JavaScript", "Markdown", "JSON", "Jupyter (JSON)", "Vue", "XML", "HTML", "SQL", "Excel", "Ini", "comment", "blank", "total"
"d:\graduation_project\graduationProject\build\webpack.prod.conf.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 148
"d:\graduation_project\graduationProject\config\dev.env.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\graduation_project\graduationProject\config\index.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 16, 70
"d:\graduation_project\graduationProject\config\prod.env.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\graduation_project\graduationProject\config\test.env.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\graduation_project\graduationProject\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 3, 15
"d:\graduation_project\graduationProject\package-lock.json", "JSON", 0, 0, 0, 16015, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16016
"d:\graduation_project\graduationProject\package.json", "JSON", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"d:\graduation_project\graduationProject\src\App.vue", "Vue", 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 11, 15, 212
"d:\graduation_project\graduationProject\src\assets\icon\antFill-file-text.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\antOutline-calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\arcoDesign-email.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\arcoDesign-location.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\black-plane.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\fas-fa-angle-right.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
